Real Date,Bytes,X,Y,Last Seen,Associated,Test Point,Traffic
2022-09-05 15:05:51,8690,87.4,44.02,2022-09-05T15:05:50.590+0100,True,16,No
2022-09-05 15:05:52,5500,87.4,44.02,2022-09-05T15:05:50.590+0100,True,16,No
2022-09-05 15:05:53,8742,87.4,44.02,2022-09-05T15:05:52.592+0100,True,16,No
2022-09-05 15:05:54,5552,87.4,44.02,2022-09-05T15:05:52.592+0100,True,16,No
2022-09-05 15:05:55,8794,87.4,44.02,2022-09-05T15:05:54.627+0100,True,16,No
2022-09-05 15:05:56,5448,87.4,44.02,2022-09-05T15:05:54.627+0100,True,16,No
2022-09-05 15:05:57,8742,87.4,44.02,2022-09-05T15:05:56.752+0100,True,16,No
2022-09-05 15:05:58,9770,87.4,44.02,2022-09-05T15:05:56.752+0100,True,16,No
2022-09-05 15:05:59,6119,87.4,44.02,2022-09-05T15:05:56.752+0100,True,16,No
2022-09-05 15:06:00,8794,87.4,44.02,2022-09-05T15:05:58.812+0100,True,16,No
2022-09-05 15:06:01,8742,87.4,44.02,2022-09-05T15:06:00.828+0100,True,16,No
2022-09-05 15:07:59,8743,65.55,44.02,2022-09-05T15:07:57.845+0100,True,16,Yes
2022-09-05 15:08:01,7688403,65.55,44.02,2022-09-05T15:07:59.859+0100,True,16,Yes
2022-09-05 15:08:01,1059207,65.55,44.02,2022-09-05T15:07:59.859+0100,True,16,Yes
2022-09-05 15:08:02,194924,65.55,44.02,2022-09-05T15:07:59.859+0100,True,16,Yes
2022-09-05 15:08:03,8743,65.55,44.02,2022-09-05T15:08:01.859+0100,True,16,Yes
2022-09-05 15:08:04,5552,65.55,44.02,2022-09-05T15:08:01.859+0100,True,16,Yes
2022-09-05 15:08:05,8884,65.55,44.02,2022-09-05T15:08:03.874+0100,True,16,Yes
2022-09-05 15:08:06,5396,65.55,44.02,2022-09-05T15:08:03.874+0100,True,16,Yes
2022-09-05 15:08:07,8691,65.55,44.02,2022-09-05T15:08:05.976+0100,True,16,Yes
2022-09-05 15:08:08,5552,65.55,44.02,2022-09-05T15:08:05.976+0100,True,16,Yes
2022-09-05 15:08:09,8795,65.55,44.02,2022-09-05T15:08:08.063+0100,True,16,Yes
2022-09-05 15:08:10,5552,65.55,44.02,2022-09-05T15:08:08.063+0100,True,16,Yes
2022-09-05 15:08:11,5882903,65.55,44.02,2022-09-05T15:08:10.105+0100,True,16,Yes
2022-09-05 15:08:12,5448,65.55,44.02,2022-09-05T15:08:10.105+0100,True,16,Yes
2022-09-05 15:08:13,9107,65.55,44.02,2022-09-05T15:08:12.166+0100,True,16,Yes
2022-09-05 15:08:14,5552,65.55,44.02,2022-09-05T15:08:12.166+0100,True,16,Yes
2022-09-05 15:08:15,9144,65.55,44.02,2022-09-05T15:08:14.265+0100,True,16,Yes
2022-09-05 15:08:16,5448,65.55,44.02,2022-09-05T15:08:14.265+0100,True,16,Yes
2022-09-05 15:08:17,8694,58.26667,44.02,2022-09-05T15:08:16.478+0100,True,16,Yes
2022-09-05 15:08:18,5031058,58.26667,44.02,2022-09-05T15:08:16.478+0100,True,16,Yes
2022-09-05 15:08:19,872221,58.26667,44.02,2022-09-05T15:08:18.507+0100,True,16,Yes
2022-09-05 15:08:20,5500,58.26667,44.02,2022-09-05T15:08:18.507+0100,True,16,Yes
2022-09-05 15:08:21,8694,58.26667,44.02,2022-09-05T15:08:20.542+0100,True,16,Yes
2022-09-05 15:08:22,5448,58.26667,44.02,2022-09-05T15:08:20.542+0100,True,16,Yes
2022-09-05 15:08:23,8746,58.26667,44.02,2022-09-05T15:08:22.543+0100,True,16,Yes
2022-09-05 15:08:24,8879,58.26667,44.02,2022-09-05T15:08:22.543+0100,True,16,Yes
2022-09-05 15:08:25,8887,58.26667,44.02,2022-09-05T15:08:24.570+0100,True,16,Yes
2022-09-05 15:08:26,5166673,58.26667,44.02,2022-09-05T15:08:24.570+0100,True,16,Yes
2022-09-05 15:08:27,8694,58.26667,44.02,2022-09-05T15:08:26.656+0100,True,16,Yes
