Real Date,Bytes,X,Y,Last Seen,Associated,Test Point
2022-09-05 15:37:49,8700,95.285385,19.038832,2022-09-05T15:37:48.249+0100,true,18
2022-09-05 15:37:49,5342002,95.285385,19.038832,2022-09-05T15:37:48.249+0100,true,18
2022-09-05 15:37:50,5854,95.285385,19.038832,2022-09-05T15:37:48.249+0100,true,18
2022-09-05 15:37:51,8752,95.650345,18.764973,2022-09-05T15:37:50.277+0100,true,18
2022-09-05 15:37:52,5500,95.650345,18.764973,2022-09-05T15:37:50.277+0100,true,18
2022-09-05 15:37:53,8751,98.43856,16.771847,2022-09-05T15:37:52.293+0100,true,18
2022-09-05 15:37:54,5448,98.43856,16.771847,2022-09-05T15:37:52.293+0100,true,18
2022-09-05 15:37:55,8751,99.60245,16.397549,2022-09-05T15:37:54.304+0100,true,18
2022-09-05 15:37:56,5448,99.60245,16.397549,2022-09-05T15:37:54.304+0100,true,18
2022-09-05 15:37:57,8752,101.19536,15.209025,2022-09-05T15:37:56.326+0100,true,18
2022-09-05 15:37:58,5448,101.19536,15.209025,2022-09-05T15:37:56.326+0100,true,18
2022-09-05 15:37:59,11913,101.60661,15.200776,2022-09-05T15:37:58.426+0100,true,18
2022-09-05 15:38:01,5552,101.60661,15.200776,2022-09-05T15:37:58.426+0100,true,18
2022-09-05 15:38:01,8752,100.39747,16.001417,2022-09-05T15:38:00.525+0100,true,18
2022-09-05 15:38:02,5500,100.39747,16.001417,2022-09-05T15:38:00.525+0100,true,18
2022-09-05 15:38:03,8700,100.40438,15.990417,2022-09-05T15:38:02.552+0100,true,18
2022-09-05 15:38:04,5537,100.40438,15.990417,2022-09-05T15:38:02.552+0100,true,18
2022-09-05 15:38:05,9116,100.37843,15.609286,2022-09-05T15:38:04.639+0100,true,18
2022-09-05 15:38:06,5500,100.37843,15.609286,2022-09-05T15:38:04.639+0100,true,18
2022-09-05 15:38:07,4830853,98.375595,16.814266,2022-09-05T15:38:06.660+0100,true,18
2022-09-05 15:38:08,5500,98.375595,16.814266,2022-09-05T15:38:06.660+0100,true,18
2022-09-05 15:38:09,8700,98.002785,16.799143,2022-09-05T15:38:08.984+0100,true,18
2022-09-05 15:38:11,5552,98.002785,16.799143,2022-09-05T15:38:08.984+0100,true,18
2022-09-05 15:38:11,8752,99.206314,15.995874,2022-09-05T15:38:11.016+0100,true,18
2022-09-05 15:38:12,5448,99.206314,15.995874,2022-09-05T15:38:11.016+0100,true,18
2022-09-05 15:38:14,8803,98.01226,16.791014,2022-09-05T15:38:13.040+0100,true,18
